player_name,team,season,h1_min,h1_FGM,h1_FGA,h1_3PM,h1_3PA,h1_FTM,h1_FTA,h1_AST,h1_STL,h1_BLK,h1_ORB,h1_DRB,h1_TO,h2_min,h2_FGM,h2_FGA,h2_3PM,h2_3PA,h2_FTM,h2_FTA,h2_AST,h2_STL,h2_BLK,h2_ORB,h2_DRB,h2_TO
Adam Bonk,Wisconsin Parkside,2018-19,20.0,0,3,0,3,0,0,1,0,0,0,0,2,15.58,1,3,0,2,2,2,0,1,0,0,1,0
Adam Dworsky,SE Oklahoma State,2018-19,18.48,2,3,0,1,0,0,3,2,0,1,0,6,20.0,3,8,1,1,4,4,3,1,0,2,3,1
Adam Flagler,Presbyterian,2018-19,20.0,92,209,49,132,26,32,22,11,5,13,45,17,19.8,97,218,56,137,45,53,19,17,4,13,54,24
Adam Goetz,KY Wesleyan,2018-19,20.0,1,5,0,3,0,0,4,0,0,0,0,1,15.73,5,7,1,2,0,0,2,0,0,0,2,2
Adam Gotelli,Life Pacific,2018-19,20.0,3,10,3,7,0,0,0,0,0,0,0,2,15.03,1,3,1,3,0,0,0,0,0,0,0,1
Adam Grant,Bryant,2018-19,20.0,78,183,39,95,13,18,17,15,0,9,26,18,20.0,71,173,38,93,51,62,23,14,2,12,30,26
Adam Horn,Harding,2018-19,20.0,5,10,3,3,0,0,1,0,0,2,3,2,14.85,1,2,0,0,0,0,0,0,0,0,2,1
Adam Kunkel,Belmont,2018-19,20.0,4,10,2,7,5,5,7,2,1,0,4,4,17.27,4,16,2,11,4,6,7,3,1,1,1,3
Adam Lulka,Albany,2018-19,20.0,55,99,7,21,18,20,21,6,8,32,53,21,20.0,45,76,3,11,11,19,10,8,6,30,51,28
Adam Mitola,George Washington,2018-19,15.0,2,4,2,4,0,0,0,0,0,2,1,7,20.0,2,4,2,4,0,0,2,1,0,1,1,0
Adam Phillip,,2018-19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Adam Pickett,Winthrop,2018-19,20.0,62,111,16,40,11,18,35,11,2,13,71,47,18.83,66,122,24,45,39,53,43,13,9,18,64,45
Adam Pohlman,Lindenwood,2018-19,20.0,0,3,0,2,0,0,2,1,0,0,1,0,17.87,1,2,0,1,0,0,4,0,0,0,0,0
Adam Poole,Pensacola Christian College,2018-19,20.0,1,2,1,2,0,0,2,1,0,1,2,2,14.87,0,1,0,0,0,0,1,1,0,0,0,1
Adam Rivera,Texas Permian Basin,2018-19,20.0,1,2,0,0,2,3,0,0,0,2,2,2,14.8,3,4,1,1,2,3,0,0,0,1,2,1
Adam Saavedra,Life Pacific,2018-19,0.0,2,4,0,1,2,2,1,2,0,1,4,2,15.03,2,4,0,2,0,0,2,1,0,0,0,1
Adam Saeed,Savannah St,2018-19,20.0,24,51,4,18,10,19,5,4,4,15,12,13,14.92,12,20,0,3,11,21,3,9,6,8,7,6
Adam Seiko,San Diego State,2018-19,20.0,8,18,5,15,5,6,16,8,1,1,15,10,16.88,8,18,8,16,8,12,4,1,0,1,11,7
Adam Sledd,Western Carolina,2018-19,20.0,7,15,0,0,4,9,1,2,0,5,8,6,15.27,6,11,0,0,1,3,1,1,2,5,11,8
Adam Thistlewood,Colorado State,2018-19,20.0,48,111,29,77,11,12,11,5,4,8,31,11,14.83,36,85,22,58,17,26,17,12,5,16,28,15
Adam Webb,Stetson,2018-19,20.0,2,4,0,0,3,4,0,2,3,2,2,9,14.95,4,11,0,0,3,5,1,0,14,11,9,8
Addison Hill,East Carolina,2018-19,20.0,5,9,3,6,2,2,4,5,1,0,13,6,20.0,1,7,1,5,3,4,5,4,1,2,11,2
Ade Murkey,Denver,2018-19,20.0,48,112,7,21,30,36,28,15,2,13,40,21,17.95,61,119,6,16,41,55,30,8,3,22,25,24
Adida Ikongshul,Western Michigan,2018-19,20.0,3,8,1,4,4,6,1,0,0,6,10,8,15.07,1,7,0,1,4,7,5,1,1,7,6,6
Admiral Schofield,Tennessee,2018-19,20.0,93,209,35,80,22,34,35,20,6,18,88,31,14.97,122,246,33,82,36,48,34,9,11,21,80,29
Adokiye Iyaye,,2018-19,4.22,26,50,6,19,12,17,11,5,1,6,20,7,0.0,20,46,4,19,21,28,9,5,1,11,8,5
Adonis Arms,NW Nazarene,2018-19,20.0,2,6,1,3,4,4,1,0,1,0,2,4,14.97,3,6,0,0,3,5,0,0,0,1,3,1
Adonis De La Rosa,Illinois,2018-19,20.0,9,32,0,0,11,16,6,3,1,9,16,11,20.0,4,12,0,0,3,5,1,1,0,5,8,7
Adrease Jackson,Dartmouth,2018-19,20.0,34,80,18,48,8,8,6,3,8,6,34,14,20.0,18,61,2,27,22,30,5,4,5,16,35,5
Adrian Bordallo,Calvary,2018-19,20.0,0,2,0,0,0,0,3,0,0,0,0,4,14.75,0,1,0,1,0,0,0,0,0,0,1,2
Adrian Brown,McNeese,2018-19,0.0,1,3,0,0,0,4,1,0,3,3,4,3,14.87,5,16,0,0,5,9,3,3,0,7,3,1
Adrian Delph,Appalachian State,2018-19,20.0,39,93,16,53,7,10,11,11,3,13,29,21,14.93,44,88,23,50,12,19,14,6,5,11,34,12
Adrian Johnson,,2018-19,0.85,6,7,0,1,2,2,1,1,0,0,4,2,0.0,1,5,0,1,0,0,0,0,0,0,2,1
Adrian Martin,Western Michigan,2018-19,20.0,6,37,4,20,0,0,5,4,0,1,10,7,17.9,9,38,5,23,4,5,4,8,1,5,12,9
Adrian Nelson,Northern Kentucky,2018-19,20.0,14,25,0,0,3,5,5,0,0,13,21,7,15.08,14,21,0,0,10,14,3,4,1,12,19,8
Adrian Palacios,Southwest Assemblies of God,2018-19,20.0,0,7,0,2,0,2,0,0,0,1,1,0,20.0,1,8,1,6,0,0,3,1,0,0,4,2
Adrian Rodriguez,,2018-19,8.9,11,18,0,2,9,12,5,1,3,16,22,8,0.0,9,14,0,0,2,4,3,1,1,5,15,7
Adrian Thomas,Wilson College,2018-19,20.0,0,2,0,1,0,0,0,1,0,2,0,0,17.92,0,1,0,0,0,0,0,0,0,2,0,1
Adrian Williams,William Carey,2018-19,20.0,4,6,0,1,0,0,1,0,0,1,2,3,15.3,3,7,1,3,2,3,4,5,0,1,3,3
Adrio Bailey,Arkansas,2018-19,20.0,32,81,0,5,12,19,14,10,8,14,31,15,17.92,36,78,2,6,22,32,8,13,12,13,31,11
Aguek Arop,San Diego State,2018-19,0.0,20,44,3,10,6,11,11,9,8,19,16,8,14.9,14,29,0,4,10,16,10,6,8,9,21,15
Aguir Agau,Fresno State,2018-19,20.0,18,44,5,18,12,19,5,7,3,10,27,7,14.77,18,37,6,11,3,6,7,3,0,10,11,8
Aher Uguak,Loyola Chicago,2018-19,20.0,34,70,2,12,29,43,22,15,3,12,38,27,14.6,32,58,2,8,22,33,10,14,3,19,40,18
Ahmaad Rorie,Montana,2018-19,20.0,93,188,34,85,17,24,75,18,1,6,53,28,20.0,83,189,25,83,47,55,54,11,1,9,66,20
Ahmad Caver,Old Dominion,2018-19,20.0,80,235,33,119,46,70,83,27,4,7,61,33,17.65,100,238,31,90,58,83,97,18,5,9,65,35
