name,year,pre_archetype,proj_role,p_establish,p_stick8,exp_wa,exp_wa_std,comp_n,outcomes,tier_counts,pwa_p10,pwa_p25,pwa_p50,pwa_p75,pwa_p90
Jarod Lucas,2024.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Keyshaun Langley,2024.0,Scoring Playmaker,Non-Specialized Playmaker,0.585,0.096,1.7,5.9,80.2,Did Not Stick:0.415:0|Non-Specialized Playmaker:0.346:-0|Spacing Guard:0.054:10|Scoring Playmaker:0.050:25,Superstar:0.00|All-Star:0.45|Starter:3.01|Role Player:13.14|Replacement:33.71|Negative:21.66,-1.99,-0.77,0.0,1.23,7.26
Dearon Tucker,2024.0,Non-Specialized Big,,,,,,0.0,,,,,,,
Jordan Minor,2024.0,Defensive Wing,,,,,,0.0,,,,,,,
Kyle Sturdivant,2024.0,Scoring Playmaker,Non-Specialized Playmaker,0.585,0.096,1.7,5.9,80.2,Did Not Stick:0.415:0|Non-Specialized Playmaker:0.346:-0|Spacing Guard:0.054:10|Scoring Playmaker:0.050:25,Superstar:0.00|All-Star:0.45|Starter:3.01|Role Player:13.14|Replacement:33.71|Negative:21.66,-1.99,-0.77,0.0,1.23,7.26
Lior Berman,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Makhel Mitchell,2024.0,Rim Protector,Rim Protector,0.414,0.099,2.1,5.2,33.3,Did Not Stick:0.586:0|Rim Protector:0.117:7|Non-Specialized Big:0.093:-0|Stretch Big:0.082:6,Superstar:0.00|All-Star:0.02|Starter:0.98|Role Player:7.58|Replacement:17.69|Negative:3.03,-0.25,0.0,0.0,2.37,5.71
Makhi Mitchell,2024.0,Rim Protector,Rim Protector,0.414,0.099,2.1,5.2,33.3,Did Not Stick:0.586:0|Rim Protector:0.117:7|Non-Specialized Big:0.093:-0|Stretch Big:0.082:6,Superstar:0.00|All-Star:0.02|Starter:0.98|Role Player:7.58|Replacement:17.69|Negative:3.03,-0.25,0.0,0.0,2.37,5.71
Babatunde Akingbola,2024.0,Non-Specialized Big,,,,,,0.0,,,,,,,
Donta Scott,2024.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Kamar Robertson,2024.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Creighton Lebo,2024.0,Defensive Guard,,,,,,0.0,,,,,,,
Jackson Purcell,2024.0,Defensive Wing,,,,,,0.0,,,,,,,
Caleb Fields,2024.0,Spacing Guard,,,,,,0.0,,,,,,,
Allen Flanigan,2024.0,Initiator Wing,Non-Specialized Wing,0.64,0.112,1.9,6.4,63.7,Did Not Stick:0.360:0|Non-Specialized Wing:0.214:-1|Scoring Wing:0.096:6|Stretch Big:0.091:6,Superstar:0.00|All-Star:0.76|Starter:1.99|Role Player:10.12|Replacement:24.84|Negative:17.16,-2.98,-0.44,0.0,1.76,8.3
Jayden Hardaway,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Jonathan Tchamwa Tchatchoua,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Tyler Bertram,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Zion Young,2024.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Jarius Hicklen,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Dean Gabrelcik,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Chase Courtney,2024.0,Non-Specialized Big,,,,,,0.0,,,,,,,
DJ Burns Jr.,2024.0,Initiator Wing,Stretch Big,0.534,0.128,2.1,6.1,47.5,Did Not Stick:0.466:0|Stretch Big:0.283:6|Non-Specialized Big:0.148:-0|Passing Hub:0.082:0,Superstar:0.00|All-Star:0.59|Starter:1.75|Role Player:7.14|Replacement:26.41|Negative:8.46,-1.48,0.0,0.0,0.76,10.46
Cole Bajema,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Matt Mayers,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Jermaine Marshall,2024.0,Initiator Wing,Non-Specialized Wing,0.64,0.112,1.9,6.4,63.7,Did Not Stick:0.360:0|Non-Specialized Wing:0.214:-1|Scoring Wing:0.096:6|Stretch Big:0.091:6,Superstar:0.00|All-Star:0.76|Starter:1.99|Role Player:10.12|Replacement:24.84|Negative:17.16,-2.98,-0.44,0.0,1.76,8.3
Darrell Reed,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Arnaud Revaz,2024.0,Non-Specialized Big,,,,,,0.0,,,,,,,
Samuell Williamson,2024.0,Defensive Wing,,,,,,0.0,,,,,,,
Seth Pinkney,2024.0,Passing Hub,Non-Specialized Big,0.421,0.037,3.2,13.0,10.4,Did Not Stick:0.579:0|Non-Specialized Big:0.173:-0|Stretch Big:0.142:6|Rim Protector:0.106:7,Superstar:0.35|All-Star:0.00|Starter:0.00|Role Player:2.00|Replacement:5.49|Negative:1.64,-0.21,0.0,0.0,0.0,6.71
Quinn Slazinski,2024.0,Scoring Wing,Stretch Big,0.534,0.128,2.1,6.1,47.5,Did Not Stick:0.466:0|Stretch Big:0.283:6|Non-Specialized Big:0.148:-0|Passing Hub:0.082:0,Superstar:0.00|All-Star:0.59|Starter:1.75|Role Player:7.14|Replacement:26.41|Negative:8.46,-1.48,0.0,0.0,0.76,10.46
Jimel Cofer,2024.0,3-and-D Wing,Non-Specialized Wing,0.794,0.158,0.9,4.8,10.5,Did Not Stick:0.206:0|Non-Specialized Wing:0.103:-1|Defensive Guard:0.103:8|Defensive Wing:0.103:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:2.53|Replacement:3.29|Negative:3.90,-5.23,-1.83,0.0,2.69,12.22
Elijah Wood,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Warren Washington,2024.0,Rim Protector,Rim Protector,0.414,0.099,2.1,5.2,33.3,Did Not Stick:0.586:0|Rim Protector:0.117:7|Non-Specialized Big:0.093:-0|Stretch Big:0.082:6,Superstar:0.00|All-Star:0.02|Starter:0.98|Role Player:7.58|Replacement:17.69|Negative:3.03,-0.25,0.0,0.0,2.37,5.71
Reginald Duhart Jr.,2024.0,Non-Specialized Wing,,,,,,0.0,,,,,,,
Robert Allen,2024.0,Defensive Wing,,,,,,0.0,,,,,,,
Nick Blake,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Juan Munoz,2024.0,Spacing Guard,,,,,,0.0,,,,,,,
Elijah Buchanan,2024.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Daniel Schreier,2024.0,Non-Specialized Wing,,,,,,0.0,,,,,,,
Isaac Spainhour,2024.0,Defensive Guard,,,,,,0.0,,,,,,,
Max Thorpe,2024.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Cade Potter,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Landon Brenchley,2024.0,Point Forward,Scoring Wing,0.378,0.094,0.8,4.8,21.5,Did Not Stick:0.622:0|Scoring Wing:0.129:6|Non-Specialized Playmaker:0.111:-0|Point Forward:0.083:1,Superstar:0.00|All-Star:0.00|Starter:0.40|Role Player:2.57|Replacement:13.50|Negative:3.64,-1.42,0.0,0.0,0.0,5.05
Will McNair Jr.,2024.0,Passing Hub,Non-Specialized Big,0.421,0.037,3.2,13.0,10.4,Did Not Stick:0.579:0|Non-Specialized Big:0.173:-0|Stretch Big:0.142:6|Rim Protector:0.106:7,Superstar:0.35|All-Star:0.00|Starter:0.00|Role Player:2.00|Replacement:5.49|Negative:1.64,-0.21,0.0,0.0,0.0,6.71
Emmanuel Dowuona,2024.0,Non-Specialized Big,,,,,,0.0,,,,,,,
DaQuan Smith,2024.0,Spacing Guard,,,,,,0.0,,,,,,,
Xavion Brown,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Jermaine Couisnard,2024.0,Initiator Wing,Non-Specialized Wing,0.64,0.112,1.9,6.4,63.7,Did Not Stick:0.360:0|Non-Specialized Wing:0.214:-1|Scoring Wing:0.096:6|Stretch Big:0.091:6,Superstar:0.00|All-Star:0.76|Starter:1.99|Role Player:10.12|Replacement:24.84|Negative:17.16,-2.98,-0.44,0.0,1.76,8.3
Markeese Hastings,2024.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Oso Ighodaro,2024.0,Short Roll Playmaker,Stretch Big,0.486,0.151,2.2,4.0,13.9,Did Not Stick:0.514:0|Stretch Big:0.272:6|Passing Hub:0.076:0|Scoring Big:0.060:5,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:2.88|Replacement:7.20|Negative:1.45,-0.15,0.0,0.0,1.91,10.42
Cormac Ryan,2024.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Nik Stadelman,2024.0,Spacing Guard,,,,,,0.0,,,,,,,
Treyon Johnson,2024.0,Short Roll Playmaker,Stretch Big,0.486,0.151,2.2,4.0,13.9,Did Not Stick:0.514:0|Stretch Big:0.272:6|Passing Hub:0.076:0|Scoring Big:0.060:5,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:2.88|Replacement:7.20|Negative:1.45,-0.15,0.0,0.0,1.91,10.42
Jourdan Smith,2024.0,Defensive Wing,,,,,,0.0,,,,,,,
Destin Whitaker,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Michael Jones,2024.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Jason Montgomery,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Matt Dove,2024.0,Rim Protector,Rim Protector,0.414,0.099,2.1,5.2,33.3,Did Not Stick:0.586:0|Rim Protector:0.117:7|Non-Specialized Big:0.093:-0|Stretch Big:0.082:6,Superstar:0.00|All-Star:0.02|Starter:0.98|Role Player:7.58|Replacement:17.69|Negative:3.03,-0.25,0.0,0.0,2.37,5.71
Jon Coleman,2024.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Joel Soriano,2024.0,Stretch Rim Protector,Stretch Big,0.648,0.021,2.3,3.8,16.5,Stretch Big:0.391:6|Did Not Stick:0.352:0|Non-Specialized Big:0.136:-0|Stretch Rim Protector:0.065:14,Superstar:0.00|All-Star:0.08|Starter:0.13|Role Player:7.17|Replacement:6.17|Negative:1.03,0.0,0.0,2.19,3.24,6.11
Daylan Hamilton,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Tristan Enaruna,2024.0,Initiator Wing,Non-Specialized Wing,0.64,0.112,1.9,6.4,63.7,Did Not Stick:0.360:0|Non-Specialized Wing:0.214:-1|Scoring Wing:0.096:6|Stretch Big:0.091:6,Superstar:0.00|All-Star:0.76|Starter:1.99|Role Player:10.12|Replacement:24.84|Negative:17.16,-2.98,-0.44,0.0,1.76,8.3
Alex Ducas,2024.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Dae Dae Grant,2024.0,Spacing Guard,,,,,,0.0,,,,,,,
Carson Barrett,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
PJ Henry,2024.0,Scoring Playmaker,Non-Specialized Playmaker,0.585,0.096,1.7,5.9,80.2,Did Not Stick:0.415:0|Non-Specialized Playmaker:0.346:-0|Spacing Guard:0.054:10|Scoring Playmaker:0.050:25,Superstar:0.00|All-Star:0.45|Starter:3.01|Role Player:13.14|Replacement:33.71|Negative:21.66,-1.99,-0.77,0.0,1.23,7.26
Joe Toussaint,2024.0,Scoring Playmaker,Non-Specialized Playmaker,0.585,0.096,1.7,5.9,80.2,Did Not Stick:0.415:0|Non-Specialized Playmaker:0.346:-0|Spacing Guard:0.054:10|Scoring Playmaker:0.050:25,Superstar:0.00|All-Star:0.45|Starter:3.01|Role Player:13.14|Replacement:33.71|Negative:21.66,-1.99,-0.77,0.0,1.23,7.26
Collin Cooper,2024.0,Spacing Guard,,,,,,0.0,,,,,,,
Derrick Carter-Hollinger Jr.,2024.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Dischon Thomas,2024.0,Scoring Wing,Stretch Big,0.534,0.128,2.1,6.1,47.5,Did Not Stick:0.466:0|Stretch Big:0.283:6|Non-Specialized Big:0.148:-0|Passing Hub:0.082:0,Superstar:0.00|All-Star:0.59|Starter:1.75|Role Player:7.14|Replacement:26.41|Negative:8.46,-1.48,0.0,0.0,0.76,10.46
DQ Nicholas,2024.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Michael Jankovich,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Demond Robinson,2024.0,Scoring Wing,Stretch Big,0.534,0.128,2.1,6.1,47.5,Did Not Stick:0.466:0|Stretch Big:0.283:6|Non-Specialized Big:0.148:-0|Passing Hub:0.082:0,Superstar:0.00|All-Star:0.59|Starter:1.75|Role Player:7.14|Replacement:26.41|Negative:8.46,-1.48,0.0,0.0,0.76,10.46
Ismael Massoud,2024.0,Non-Specialized Wing,,,,,,0.0,,,,,,,
Darrius Miles,2024.0,Non-Specialized Big,,,,,,0.0,,,,,,,
Dan Conlan,2024.0,Slashing Wing,,,,,,0.0,,,,,,,
James Bishop IV,2024.0,Scoring Playmaker,Non-Specialized Playmaker,0.585,0.096,1.7,5.9,80.2,Did Not Stick:0.415:0|Non-Specialized Playmaker:0.346:-0|Spacing Guard:0.054:10|Scoring Playmaker:0.050:25,Superstar:0.00|All-Star:0.45|Starter:3.01|Role Player:13.14|Replacement:33.71|Negative:21.66,-1.99,-0.77,0.0,1.23,7.26
Xander Rice,2024.0,Initiator Wing,Non-Specialized Wing,0.64,0.112,1.9,6.4,63.7,Did Not Stick:0.360:0|Non-Specialized Wing:0.214:-1|Scoring Wing:0.096:6|Stretch Big:0.091:6,Superstar:0.00|All-Star:0.76|Starter:1.99|Role Player:10.12|Replacement:24.84|Negative:17.16,-2.98,-0.44,0.0,1.76,8.3
Ody Oguama,2024.0,3-and-D Wing,Stretch Big,0.534,0.128,2.1,6.1,47.5,Did Not Stick:0.466:0|Stretch Big:0.283:6|Non-Specialized Big:0.148:-0|Passing Hub:0.082:0,Superstar:0.00|All-Star:0.59|Starter:1.75|Role Player:7.14|Replacement:26.41|Negative:8.46,-1.48,0.0,0.0,0.76,10.46
Brady Danielson,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
JaDun Michael,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Zach Iyeyemi,2024.0,Slashing Wing,,,,,,0.0,,,,,,,
De'Sean Allen-Eikens,2024.0,Initiator Wing,Non-Specialized Wing,0.64,0.112,1.9,6.4,63.7,Did Not Stick:0.360:0|Non-Specialized Wing:0.214:-1|Scoring Wing:0.096:6|Stretch Big:0.091:6,Superstar:0.00|All-Star:0.76|Starter:1.99|Role Player:10.12|Replacement:24.84|Negative:17.16,-2.98,-0.44,0.0,1.76,8.3
Tasos Kamateros,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Nahiem Alleyne,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Wildens Leveque,2024.0,Non-Specialized Big,,,,,,0.0,,,,,,,
Charles Pride,2024.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Jalyn McCreary,2024.0,Initiator Wing,Non-Specialized Wing,0.64,0.112,1.9,6.4,63.7,Did Not Stick:0.360:0|Non-Specialized Wing:0.214:-1|Scoring Wing:0.096:6|Stretch Big:0.091:6,Superstar:0.00|All-Star:0.76|Starter:1.99|Role Player:10.12|Replacement:24.84|Negative:17.16,-2.98,-0.44,0.0,1.76,8.3
Justin Webster,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Brandon Rasmussen,2024.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Michael Green III,2024.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Marion Humphrey,2024.0,Point Forward,Scoring Wing,0.378,0.094,0.8,4.8,21.5,Did Not Stick:0.622:0|Scoring Wing:0.129:6|Non-Specialized Playmaker:0.111:-0|Point Forward:0.083:1,Superstar:0.00|All-Star:0.00|Starter:0.40|Role Player:2.57|Replacement:13.50|Negative:3.64,-1.42,0.0,0.0,0.0,5.05
Isiah Kirby,2024.0,Point Forward,Scoring Wing,0.378,0.094,0.8,4.8,21.5,Did Not Stick:0.622:0|Scoring Wing:0.129:6|Non-Specialized Playmaker:0.111:-0|Point Forward:0.083:1,Superstar:0.00|All-Star:0.00|Starter:0.40|Role Player:2.57|Replacement:13.50|Negative:3.64,-1.42,0.0,0.0,0.0,5.05
Donovan Ivory,2024.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Jalen Benjamin,2024.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Greg Dolan,2024.0,Point Forward,Scoring Wing,0.378,0.094,0.8,4.8,21.5,Did Not Stick:0.622:0|Scoring Wing:0.129:6|Non-Specialized Playmaker:0.111:-0|Point Forward:0.083:1,Superstar:0.00|All-Star:0.00|Starter:0.40|Role Player:2.57|Replacement:13.50|Negative:3.64,-1.42,0.0,0.0,0.0,5.05
Antavion Collum,2024.0,3-and-D Wing,Stretch Big,0.534,0.128,2.1,6.1,47.5,Did Not Stick:0.466:0|Stretch Big:0.283:6|Non-Specialized Big:0.148:-0|Passing Hub:0.082:0,Superstar:0.00|All-Star:0.59|Starter:1.75|Role Player:7.14|Replacement:26.41|Negative:8.46,-1.48,0.0,0.0,0.76,10.46
